"model","reference_date","horizon","target_end_date","target_group","output_type","output_type_id","value"
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.01",45
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.025",55
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.05",66
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.1",77
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.15",80
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.2",87
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.25",91
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.3",94
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.35",98
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.4",101
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.45",103
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.5",106
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.55",109
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.6",111
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.65",115
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.7",119
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.75",122
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.8",127
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.85",135
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.9",140
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.95",156
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.975",173
"Regular Baseline","2026-06-06",-4,"2026-05-09","Adults","quantile","0.99",191
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.01",32
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.025",42
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.05",51
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.1",63
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.15",71
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.2",77
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.25",83
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.3",88
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.35",93
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.4",97
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.45",102
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.5",106
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.55",110
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.6",115
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.65",120
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.7",126
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.75",132
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.8",139
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.85",148
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.9",159
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.95",179
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.975",198
"Regular Baseline","2026-06-06",-3,"2026-05-16","Adults","quantile","0.99",225
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.01",21
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.025",32
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.05",42
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.1",54
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.15",63
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.2",70
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.25",77
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.3",83
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.35",89
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.4",95
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.45",100
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.5",106
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.55",111
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.6",117
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.65",124
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.7",131
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.75",139
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.8",148
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.85",158
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.9",174
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.95",201
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.975",224
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.99",254
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.01",14
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.025",24
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.05",34
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.1",48
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.15",58
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.2",66
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.25",73
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.3",79
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.35",87
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.4",93
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.45",99
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.5",106
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.55",113
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.6",120
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.65",128
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.7",136
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.75",145
