date,target,target_group,value,population
2022-01-08,SARI_NATIONAL,Adults,1023,34152047
2022-01-08,SARI_NATIONAL,Overall,1186,45195777
2022-01-08,SARI_NATIONAL,Pediatrics,163,11043730
2022-01-15,SARI_NATIONAL,Adults,1251,34152047
2022-01-15,SARI_NATIONAL,Overall,1423,45195777
2022-01-15,SARI_NATIONAL,Pediatrics,172,11043730
2022-01-22,SARI_NATIONAL,Adults,1113,34152047
2022-01-22,SARI_NATIONAL,Overall,1303,45195777
2022-01-22,SARI_NATIONAL,Pediatrics,190,11043730
2022-01-29,SARI_NATIONAL,Adults,769,34152047
2022-01-29,SARI_NATIONAL,Overall,907,45195777
2022-01-29,SARI_NATIONAL,Pediatrics,138,11043730
2022-02-05,SARI_NATIONAL,Adults,587,34152047
2022-02-05,SARI_NATIONAL,Overall,698,45195777
2022-02-05,SARI_NATIONAL,Pediatrics,111,11043730
2022-02-12,SARI_NATIONAL,Adults,420,34152047
2022-02-12,SARI_NATIONAL,Overall,537,45195777
2022-02-12,SARI_NATIONAL,Pediatrics,117,11043730
2022-02-19,SARI_NATIONAL,Adults,473,34152047
2022-02-19,SARI_NATIONAL,Overall,604,45195777
2022-02-19,SARI_NATIONAL,Pediatrics,131,11043730
2022-02-26,SARI_NATIONAL,Adults,430,34152047
2022-02-26,SARI_NATIONAL,Overall,551,45195777
2022-02-26,SARI_NATIONAL,Pediatrics,121,11043730
2022-03-05,SARI_NATIONAL,Adults,533,34152047
2022-03-05,SARI_NATIONAL,Overall,702,45195777
2022-03-05,SARI_NATIONAL,Pediatrics,169,11043730
2022-03-12,SARI_NATIONAL,Adults,502,34152047
2022-03-12,SARI_NATIONAL,Overall,730,45195777
2022-03-12,SARI_NATIONAL,Pediatrics,228,11043730
2022-03-19,SARI_NATIONAL,Adults,518,34152047
2022-03-19,SARI_NATIONAL,Overall,772,45195777
2022-03-19,SARI_NATIONAL,Pediatrics,254,11043730
2022-03-26,SARI_NATIONAL,Adults,437,34152047
2022-03-26,SARI_NATIONAL,Overall,633,45195777
2022-03-26,SARI_NATIONAL,Pediatrics,196,11043730
2022-04-02,SARI_NATIONAL,Adults,377,34152047
2022-04-02,SARI_NATIONAL,Overall,567,45195777
2022-04-02,SARI_NATIONAL,Pediatrics,190,11043730
2022-04-09,SARI_NATIONAL,Adults,349,34152047
2022-04-09,SARI_NATIONAL,Overall,573,45195777
2022-04-09,SARI_NATIONAL,Pediatrics,224,11043730
2022-04-16,SARI_NATIONAL,Adults,302,34152047
2022-04-16,SARI_NATIONAL,Overall,511,45195777
2022-04-16,SARI_NATIONAL,Pediatrics,209,11043730
2022-04-23,SARI_NATIONAL,Adults,271,34152047
2022-04-23,SARI_NATIONAL,Overall,496,45195777
