as_of,target,target_end_date,age_group,observation
2026-01-12,SARI,2022-01-08,Adults,1023
2026-01-12,SARI,2022-01-08,Overall,1186
2026-01-12,SARI,2022-01-08,Pediatrics,163
2026-01-12,SARI,2022-01-15,Adults,1251
2026-01-12,SARI,2022-01-15,Overall,1423
2026-01-12,SARI,2022-01-15,Pediatrics,172
2026-01-12,SARI,2022-01-22,Adults,1113
2026-01-12,SARI,2022-01-22,Overall,1303
2026-01-12,SARI,2022-01-22,Pediatrics,190
2026-01-12,SARI,2022-01-29,Adults,769
2026-01-12,SARI,2022-01-29,Overall,907
2026-01-12,SARI,2022-01-29,Pediatrics,138
2026-01-12,SARI,2022-02-05,Adults,587
2026-01-12,SARI,2022-02-05,Overall,698
2026-01-12,SARI,2022-02-05,Pediatrics,111
2026-01-12,SARI,2022-02-12,Adults,420
2026-01-12,SARI,2022-02-12,Overall,537
2026-01-12,SARI,2022-02-12,Pediatrics,117
2026-01-12,SARI,2022-02-19,Adults,473
2026-01-12,SARI,2022-02-19,Overall,604
2026-01-12,SARI,2022-02-19,Pediatrics,131
2026-01-12,SARI,2022-02-26,Adults,430
2026-01-12,SARI,2022-02-26,Overall,551
2026-01-12,SARI,2022-02-26,Pediatrics,121
2026-01-12,SARI,2022-03-05,Adults,533
2026-01-12,SARI,2022-03-05,Overall,702
2026-01-12,SARI,2022-03-05,Pediatrics,169
2026-01-12,SARI,2022-03-12,Adults,502
2026-01-12,SARI,2022-03-12,Overall,730
2026-01-12,SARI,2022-03-12,Pediatrics,228
2026-01-12,SARI,2022-03-19,Adults,518
2026-01-12,SARI,2022-03-19,Overall,772
2026-01-12,SARI,2022-03-19,Pediatrics,254
2026-01-12,SARI,2022-03-26,Adults,437
2026-01-12,SARI,2022-03-26,Overall,633
2026-01-12,SARI,2022-03-26,Pediatrics,196
2026-01-12,SARI,2022-04-02,Adults,377
2026-01-12,SARI,2022-04-02,Overall,567
2026-01-12,SARI,2022-04-02,Pediatrics,190
2026-01-12,SARI,2022-04-09,Adults,349
2026-01-12,SARI,2022-04-09,Overall,573
2026-01-12,SARI,2022-04-09,Pediatrics,224
2026-01-12,SARI,2022-04-16,Adults,302
2026-01-12,SARI,2022-04-16,Overall,511
2026-01-12,SARI,2022-04-16,Pediatrics,209
2026-01-12,SARI,2022-04-23,Adults,271
2026-01-12,SARI,2022-04-23,Overall,496
2026-01-12,SARI,2022-04-23,Pediatrics,225
2026-01-12,SARI,2022-04-30,Adults,267
2026-01-12,SARI,2022-04-30,Overall,547
2026-01-12,SARI,2022-04-30,Pediatrics,280
2026-01-12,SARI,2022-05-07,Adults,312
2026-01-12,SARI,2022-05-07,Overall,613
2026-01-12,SARI,2022-05-07,Pediatrics,301
2026-01-12,SARI,2022-05-14,Adults,343
2026-01-12,SARI,2022-05-14,Overall,761
2026-01-12,SARI,2022-05-14,Pediatrics,418
2026-01-12,SARI,2022-05-21,Adults,394
2026-01-12,SARI,2022-05-21,Overall,898
2026-01-12,SARI,2022-05-21,Pediatrics,504
2026-01-12,SARI,2022-05-28,Adults,419
2026-01-12,SARI,2022-05-28,Overall,846
2026-01-12,SARI,2022-05-28,Pediatrics,427
2026-01-12,SARI,2022-06-04,Adults,457
2026-01-12,SARI,2022-06-04,Overall,925
2026-01-12,SARI,2022-06-04,Pediatrics,468
2026-01-12,SARI,2022-06-11,Adults,482
2026-01-12,SARI,2022-06-11,Overall,1042
2026-01-12,SARI,2022-06-11,Pediatrics,560
2026-01-12,SARI,2022-06-18,Adults,429
2026-01-12,SARI,2022-06-18,Overall,918
2026-01-12,SARI,2022-06-18,Pediatrics,489
2026-01-12,SARI,2022-06-25,Adults,416
2026-01-12,SARI,2022-06-25,Overall,824
2026-01-12,SARI,2022-06-25,Pediatrics,408
2026-01-12,SARI,2022-07-02,Adults,483
2026-01-12,SARI,2022-07-02,Overall,871
2026-01-12,SARI,2022-07-02,Pediatrics,388
2026-01-12,SARI,2022-07-09,Adults,440
2026-01-12,SARI,2022-07-09,Overall,868
2026-01-12,SARI,2022-07-09,Pediatrics,428
2026-01-12,SARI,2022-07-16,Adults,462
2026-01-12,SARI,2022-07-16,Overall,821
2026-01-12,SARI,2022-07-16,Pediatrics,359
2026-01-12,SARI,2022-07-23,Adults,490
2026-01-12,SARI,2022-07-23,Overall,833
2026-01-12,SARI,2022-07-23,Pediatrics,343
2026-01-12,SARI,2022-07-30,Adults,422
2026-01-12,SARI,2022-07-30,Overall,701
2026-01-12,SARI,2022-07-30,Pediatrics,279
2026-01-12,SARI,2022-08-06,Adults,403
2026-01-12,SARI,2022-08-06,Overall,675
2026-01-12,SARI,2022-08-06,Pediatrics,272
2026-01-12,SARI,2022-08-13,Adults,348
2026-01-12,SARI,2022-08-13,Overall,652
2026-01-12,SARI,2022-08-13,Pediatrics,304
2026-01-12,SARI,2022-08-20,Adults,307
2026-01-12,SARI,2022-08-20,Overall,655
2026-01-12,SARI,2022-08-20,Pediatrics,348
2026-01-12,SARI,2022-08-27,Adults,286
2026-01-12,SARI,2022-08-27,Overall,595
2026-01-12,SARI,2022-08-27,Pediatrics,309
2026-01-12,SARI,2022-09-03,Adults,282
2026-01-12,SARI,2022-09-03,Overall,611
2026-01-12,SARI,2022-09-03,Pediatrics,329
2026-01-12,SARI,2022-09-10,Adults,305
2026-01-12,SARI,2022-09-10,Overall,616
2026-01-12,SARI,2022-09-10,Pediatrics,311
2026-01-12,SARI,2022-09-17,Adults,235
2026-01-12,SARI,2022-09-17,Overall,525
2026-01-12,SARI,2022-09-17,Pediatrics,290
2026-01-12,SARI,2022-09-24,Adults,242
2026-01-12,SARI,2022-09-24,Overall,502
2026-01-12,SARI,2022-09-24,Pediatrics,260
2026-01-12,SARI,2022-10-01,Adults,255
2026-01-12,SARI,2022-10-01,Overall,561
2026-01-12,SARI,2022-10-01,Pediatrics,306
2026-01-12,SARI,2022-10-08,Adults,208
2026-01-12,SARI,2022-10-08,Overall,480
2026-01-12,SARI,2022-10-08,Pediatrics,272
2026-01-12,SARI,2022-10-15,Adults,272
2026-01-12,SARI,2022-10-15,Overall,545
2026-01-12,SARI,2022-10-15,Pediatrics,273
2026-01-12,SARI,2022-10-22,Adults,267
2026-01-12,SARI,2022-10-22,Overall,591
2026-01-12,SARI,2022-10-22,Pediatrics,324
2026-01-12,SARI,2022-10-29,Adults,223
